scientificName	catalogNumber	part	page	from	to	eventDate	taxonRank	family	associatedTaxa	occurrenceStatus	Column
Uromyces striatus J. Schröt.	93	2	23	03.VIII.1920	09.IX.1995	1920-08-03/1995-09-09	species	Pucciniaceae	parasite of: Euphorbia cyparissias| parasite of: Medicago lupulina| parasite of: Trifolium	present	
Uromyces trifolii (R. Hedw. ex DC.) Fuckel	94	2	23	X.1885	16.IX.1996	1885-10/1996-09-16	species	Pucciniaceae	parasite of: Trifolium repens| parasite of: Trifolium fragiferum	present	native
Uromyces trifolii-repentis Liro ex Liro	95	2	24	22.VIII.1875	12.IX.1991	1875-08-22/1991-09-12	species	Pucciniaceae	parasite of: Trifolium fragiferum| parasite of: Trifolium hybridum var. elegans| parasite of: Trifolium repens| parasite of: Trifolium hybridum	present	native
Uromyces tuberculatus (Fuckel) Fuckel	96	2	24	VII.1902		1902-07	species	Pucciniaceae	parasite of: Euphorbia exigua	present	
Uromyces valerianae (DC.) Fuckel	97	2	24	05.VI.1994		1994-06-05	species	Pucciniaceae	parasite of: Valeriana dioica| parasite of: Valeriana repens| parasite of: Valeriana wallrothii	present	
Uromyces veratri (DC.) J. Schröt.	98	2	24	XI.1852		1852-11	species	Pucciniaceae	parasite of: Cacalia| parasite of: Adenostyles alliariae| parasite of: Veratrum album	present	alien
Uromyces viciae-fabae var. orobi (Schumach.) Jørst.	99	2	25	VIII.1887	29.VIII.1901	1887-08/1901-08-29	variety	Pucciniaceae	parasite of: Lathyrus linifolius var. montanus	present	
Uromyces viciae-fabae J. Schröt. var. viciae-fabae 	100	2	25	08.X.1895	02.X.2005	1895-10-08/2005-10-02	variety	Pucciniaceae	parasite of: Lathyrus odoratus| parasite of: Vicia cracca| parasite of: Vicia faba| parasite of: Vicia hirsuta| parasite of: Vicia sativa| parasite of: Vicia sepium	present	
Puccinia acetosae Körn. 	101	3	8	15.VII.2000		2000-07-15	species	Pucciniaceae	parasite of: Rumex acetosa| parasite of: Rumex acetosella| parasite of: Rumex obtusifolius| parasite of: Rumex palustris	present	
Puccinia adoxae R. Hedw. 	102	3	8	14.V.1966	15.V.2010	1966-05-14/2010-05-15	species	Pucciniaceae	parasite of: Adoxa moschatellina	present	
